id,Hardness
6400,92.571815
6401,137.84314
6402,120.370346
6403,97.12193
6404,308.67245
6405,150.91647
6406,186.24677
6407,225.62227
6408,284.29282
6409,63.747234
6410,93.07225
6411,199.3844
6412,421.16556
6413,77.740295
6414,226.48433
6415,338.5893
6416,92.53517
6417,174.55556
6418,218.2343
6419,88.44933
6420,319.15286
6421,211.65244
6422,115.78822
6423,95.12624
6424,472.67032
6425,446.75388
6426,343.45657
6427,41.041645
6428,120.93142
6429,306.66687
6430,313.00018
6431,366.619
6432,111.10892
6433,773.0235
6434,237.7128
6435,55.76515
6436,212.29602
6437,304.09518
6438,30.362915
6439,645.38794
6440,116.1278
6441,264.35864
6442,98.85887
6443,106.76298
6444,191.5441
6445,220.2928
6446,102.11217
6447,85.94242
6448,185.91508
6449,152.74548
6450,311.1811
6451,181.5143
6452,268.6754
6453,201.81538
6454,166.14578
6455,182.89658
6456,550.92615
6457,158.99347
6458,188.65926
6459,112.027916
6460,217.16994
6461,396.42667
6462,184.90308
6463,62.252373
6464,219.24323
6465,258.67944
6466,91.74003
6467,183.59015
6468,112.93263
6469,74.08182
6470,307.30902
6471,277.67172
6472,208.09792
6473,125.479485
6474,243.24269
6475,326.0716
6476,87.05107
6477,422.85574
6478,135.16422
6479,226.05318
6480,153.96051
6481,56.492058
6482,195.22559
6483,163.97664
6484,92.20706
6485,221.32594
6486,108.464096
6487,36.00362
6488,320.68832
6489,370.4072
6490,199.3951
6491,30.254982
6492,137.6863
6493,141.66762
6494,303.50546
6495,384.06628
6496,374.1191
6497,43.148552
6498,173.61708
6499,211.69037
6500,513.1311
6501,169.36388
6502,169.37988
6503,301.89886
6504,323.4968
6505,570.8991
6506,55.168247
6507,295.022
6508,196.08078
6509,240.23048
6510,49.513275
6511,172.54642
6512,212.70393
6513,97.794
6514,151.22939
6515,350.28076
6516,141.15573
6517,58.225964
6518,134.96323
6519,193.55626
6520,124.72842
6521,267.00766
6522,216.50208
6523,104.72981
6524,309.45413
6525,147.53531
6526,128.44397
6527,108.142784
6528,101.39725
6529,149.78711
6530,213.45198
6531,311.85553
6532,207.33572
6533,72.2021
6534,128.81207
6535,183.42686
6536,559.87946
6537,338.7935
6538,128.31462
6539,238.16109
6540,264.93582
6541,182.3511
6542,51.932243
6543,251.41785
6544,291.1657
6545,584.6629
6546,84.8278
6547,406.16672
6548,157.55617
6549,193.79982
6550,127.23735
6551,98.09667
6552,120.86602
6553,376.39227
6554,81.14412
6555,153.58653
6556,97.53387
6557,105.12246
6558,185.1234
6559,209.87418
6560,119.93242
6561,159.53954
6562,130.44408
6563,154.37004
6564,153.59315
6565,114.705345
6566,135.56697
6567,151.1915
6568,119.56275
6569,209.13234
6570,66.074814
6571,248.90819
6572,323.37833
6573,305.5271
6574,66.55155
6575,79.91929
6576,350.0431
6577,369.1113
6578,129.45305
6579,223.3761
6580,176.72894
6581,63.130466
6582,92.84006
6583,263.33643
6584,94.09291
6585,164.26953
6586,93.43036
6587,247.58972
6588,166.76259
6589,92.9013
6590,372.84357
6591,124.388145
6592,162.8676
6593,247.61154
6594,198.08136
6595,230.64172
6596,192.24786
6597,387.5606
6598,84.433334
6599,30.163542
6600,143.03438
6601,36.307915
6602,318.84158
6603,318.28217
6604,305.95163
6605,101.305244
6606,110.77761
6607,290.039
6608,64.73762
6609,245.43912
6610,189.65546
6611,148.77396
6612,496.2141
6613,130.4522
6614,285.97144
6615,379.28598
6616,421.4438
6617,83.01856
6618,264.29092
6619,191.69614
6620,172.61224
6621,264.16113
6622,108.52118
6623,239.23178
6624,241.2844
6625,182.80812
6626,395.6308
6627,112.916
6628,571.13605
6629,280.0081
6630,142.09908
6631,510.78928
6632,84.141464
6633,170.7949
6634,94.260284
6635,207.36751
6636,98.38798
6637,33.557106
6638,186.1564
6639,596.0811
6640,165.18141
6641,55.843204
6642,163.83394
6643,173.40073
6644,103.70258
6645,185.18175
6646,100.16802
6647,107.45168
6648,396.69876
6649,161.55945
6650,367.14
6651,184.95303
6652,96.94307
6653,306.45535
6654,140.14973
6655,62.680885
6656,112.74086
6657,53.263214
6658,114.15975
6659,319.37045
6660,107.17461
6661,247.40047
6662,103.500534
6663,298.92358
6664,47.918514
6665,351.94904
6666,213.61026
6667,176.9888
6668,153.69577
6669,117.304985
6670,214.59001
6671,197.89807
6672,355.87033
6673,534.5386
6674,131.5078
6675,181.78004
6676,240.04196
6677,237.09442
6678,134.0385
6679,445.5537
6680,162.74306
6681,175.30994
6682,76.1208
6683,378.56433
6684,129.56418
6685,146.78433
6686,192.01283
6687,84.093376
6688,192.70232
6689,139.88913
6690,164.87024
6691,274.94516
6692,218.20488
6693,128.88504
6694,81.13463
6695,38.642048
6696,185.4399
6697,270.08588
6698,69.052704
6699,216.60959
6700,276.78732
6701,233.3207
6702,721.98126
6703,263.7653
6704,151.56276
6705,153.78467
6706,117.60535
6707,269.44876
6708,71.732216
6709,404.0681
6710,43.765347
6711,133.21732
6712,354.6112
6713,260.5823
6714,356.0609
6715,72.415695
6716,454.1085
6717,83.25006
6718,135.32957
6719,177.8745
6720,618.8323
6721,190.22043
6722,29.220028
6723,114.59538
6724,130.33151
6725,115.62198
6726,70.4291
6727,413.10883
6728,70.98345
6729,340.7996
6730,209.81296
6731,78.24664
6732,311.68033
6733,77.57807
6734,64.628044
6735,110.3921
6736,122.13348
6737,126.394
6738,36.036987
6739,70.48589
6740,127.23018
6741,210.44199
6742,153.02103
6743,439.6282
6744,41.397224
6745,88.31112
6746,87.652725
6747,115.06437
6748,66.529205
6749,132.69258
6750,177.07419
6751,362.74545
6752,273.5443
6753,85.84456
6754,558.4414
6755,534.19714
6756,551.5506
6757,225.9013
6758,726.45416
6759,97.44597
6760,134.0794
6761,201.63948
6762,151.61577
6763,205.3032
6764,78.23926
6765,574.8076
6766,92.01358
6767,137.50938
6768,36.425346
6769,395.67578
6770,906.4279
6771,89.77134
6772,163.44142
6773,152.00237
6774,428.83102
6775,265.3606
6776,117.60811
6777,506.76736
6778,669.5628
6779,142.71689
6780,321.6522
6781,211.16591
6782,77.1526
6783,105.09408
6784,156.45859
6785,116.098595
6786,141.13492
6787,230.29642
6788,229.11923
6789,322.4257
6790,395.43326
6791,387.8369
6792,85.491806
6793,161.69498
6794,55.00721
6795,30.205235
6796,135.81068
6797,496.9712
6798,52.787136
6799,293.68573
6800,213.19821
6801,125.84922
6802,120.84592
6803,402.78134
6804,231.62338
6805,174.2458
6806,540.66223
6807,100.009865
6808,271.97394
6809,118.297066
6810,315.23694
6811,35.935272
6812,217.74698
6813,130.27983
6814,161.77542
6815,317.88385
6816,537.9381
6817,280.77002
6818,252.18118
6819,76.554955
6820,120.89037
6821,83.11593
6822,71.28899
6823,200.30617
6824,358.93066
6825,76.22286
6826,249.8102
6827,174.97356
6828,322.3019
6829,103.29979
6830,251.47182
6831,76.89735
6832,120.340385
6833,219.44469
6834,128.70683
6835,239.99593
6836,425.7394
6837,143.46823
6838,188.16417
6839,90.420494
6840,950.31445
6841,215.48425
6842,393.80792
6843,523.07666
6844,155.7856
6845,377.72534
6846,148.0545
6847,81.711975
6848,325.31128
6849,219.46552
6850,115.18645
6851,166.24632
6852,40.64766
6853,34.87624
6854,77.55006
6855,313.58005
6856,337.7848
6857,305.08112
6858,281.6558
6859,299.64172
6860,208.6029
6861,119.22121
6862,123.44367
6863,274.63535
6864,196.89133
6865,236.68988
6866,111.739555
6867,468.8592
6868,255.263
6869,206.81361
6870,41.65225
6871,212.41725
6872,316.03784
6873,181.7662
6874,175.1607
6875,174.59773
6876,222.47643
6877,167.00694
6878,315.4889
6879,181.46828
6880,160.32106
6881,470.01358
6882,130.38846
6883,49.073467
6884,89.37384
6885,94.92766
6886,212.80647
6887,33.944237
6888,302.16574
6889,45.51044
6890,102.69023
6891,200.25276
6892,161.13573
6893,54.370308
6894,259.51233
6895,43.39483
6896,141.28156
6897,254.01495
6898,261.46317
6899,280.66122
6900,300.43396
