id,Hardness
6400,85.49911373015873
6401,152.23263131383607
6402,118.85732767561323
6403,97.00902342251077
6404,315.72353746681097
6405,143.74328705468966
6406,186.457437994228
6407,228.22800230375182
6408,287.69737464235226
6409,63.637435490620476
6410,97.06387449870128
6411,205.09980116724392
6412,434.7433829725833
6413,82.2768276445332
6414,230.4884307662338
6415,324.8319620753247
6416,96.96759463203463
6417,166.68613793391066
6418,216.5707790250858
6419,99.04705141247634
6420,294.81204240836956
6421,206.0759528646465
6422,113.47647680115442
6423,87.36660852092349
6424,476.43273831168807
6425,462.64275318181825
6426,336.7835650072149
6427,39.852517539682516
6428,133.66717944949505
6429,310.0976365102452
6430,316.3233103853536
6431,404.2824678809525
6432,109.9912618542569
6433,721.7214320057722
6434,241.41913769754683
6435,60.25514688311692
6436,215.0354786300144
6437,317.5073390352094
6438,25.071820389610387
6439,623.4881146031747
6440,114.79661530303022
6441,273.1045910793651
6442,100.8972402092352
6443,108.39355437229435
6444,204.32298312582972
6445,212.04750528225108
6446,106.6250518790765
6447,84.30895381818186
6448,197.15349786324774
6449,151.19155335602173
6450,311.86060679076496
6451,181.64219223998234
6452,280.42172633059164
6453,215.99603319500497
6454,159.955565896104
6455,181.2193318144301
6456,521.9168698412698
6457,149.65338227460325
6458,180.4711623694085
6459,133.84596239444454
6460,207.2926153492063
6461,403.87325259740265
6462,191.65159925129876
6463,64.46279473304479
6464,223.68593345671
6465,268.5894106305193
6466,80.86702132756129
6467,189.17665114690868
6468,110.81986463591961
6469,64.9200932239982
6470,298.7883409126988
6471,285.0486117810244
6472,201.54573439538245
6473,127.30440381240989
6474,237.5635275808082
6475,331.98212150747577
6476,82.46989723665224
6477,409.72470719480526
6478,141.4407264391943
6479,219.83602469119765
6480,148.96530528484848
6481,62.82643659913419
6482,181.35437951406934
6483,167.45057704357876
6484,98.50684633477623
6485,220.01190676436332
6486,109.71866970101009
6487,47.87549294633148
6488,313.5429428444445
6489,391.8391406660894
6490,206.9362638555556
6491,28.583129620490602
6492,123.281307958153
